职位名,公司,薪资,城市,区域,商圈,详细地址,经验,学历,职位标签,福利,岗位描述,HR 名称,HR 职位,活跃时间,职位链接,筛选状态,筛选原因,采集错误
小说后端golang开发,嘉兴九州文化传媒,25-30K,杭州,钱塘区,金沙湖,杭州钱塘区嘉兴九州文化传媒有限公司1,5-10年,本科,,零食下午茶、绩效奖金、夜班补助、保底工资、节日福利、五险一金、股票期权、节假日加班费、年终奖、生日福利、带薪年假、团建聚餐、法定节假日三薪、底薪加提成、企业年金、加班补助,"1.负责短剧/小说App后端服务的开发，架构设计与维护，保障核心业务稳定运行
2. 参与广告投放系统、⽀付系统等核⼼模块的架构设计与实现
3. 使⽤Go语言进行⾼并发、高可用的微服务架构开发
4. 配合产品和运营需求，快速迭代业务功能
5. 参与系统性能优化、故障排查和技术方案评审
6. 积极拥抱AI辅助编程工具（如Copilot、Cursor等），提升开发效率",姜先生,招聘者,刚刚活跃,https://www.zhipin.com/job_detail/cd8b410ef49ecbd00nd90tS8GFFW.html,通过,通过,
Golang 工程师（远程办公）,某知名互联网金融公司,35-40K·15薪,杭州,,,杭州西湖区西湖国际11,5-10年,本科,远程办公、web3,补充医疗保险、带薪年假、节日福利、员工旅游、年终奖、定期体检,"Golang ⼯程师
Job Type：Full-Time, Remote
Industry: Web3（可以没有⾏业经验）
PS：
1 、211/985 本科及以上计算机专业，3/10 年⼯作经验（其中有一段互联网⼤厂任职背景），
2 、熟练掌握 Golang 高并发编程，并理解其原理。
3 、丰富的 GoZero 、Gin 和其他 Golang 框架经验。
4 、熟练掌握中间件技术，包括 MySQL 、Redis 和 Kafka ，以及它们的基本原理。
5 、开发和维护分布式微服务架构的能力。",许先生,猎头顾问,刚刚活跃,https://www.zhipin.com/job_detail/28563ecba010aab80nRz2du_GVFQ.html,通过,通过,
golang开发,卓越际联科技有限公司,14-15K,杭州,西湖区,西溪,杭州灯彩街1008号浙江省杭州市西湖区三墩镇灯彩街1008号,3-5年,大专,Golang、Golang服务端开发经验、计算机相关专业、网管,五险一金,"三年以上开发经验，热爱编程，有良好的编程习惯
精通 Golang 语言，深入理解 Goroutine 调度机制（GMP模型）、Channel 通信原理及内存管理（GC）；具备良好的代码规范，熟悉常见设计模式及应用场景
熟悉 Gin、Go-Zero、Kratos 或 Echo 等主流 Go Web 框架；熟悉数据库原理，熟练使用 MySQL，具备 SQL 调优能⼒
对分布式系统、缓存（Redis）、消息队列（Kafka/RocketMQ）、负载均衡等技术有⼀定的理解和应⽤经验
积极主动，具有良好的团队合作意识、沟通能力
有模型开源社区的使用经验者优先，⽐如huggingface、modelscope",邢园,招聘经理,刚刚活跃,https://www.zhipin.com/job_detail/34932e1ec83ed27d0nd-3dS4FVtU.html,通过,通过,
Golang游戏服务端开发,万物辰新,15-26K,杭州,上城区,机场路沿线,杭州上城区元气岛运营中心4楼,3-5年,学历不限,,生日福利、全勤奖、高温补贴、节日福利、带薪年假、团建聚餐,"岗位职责:
1.搭建游戏项目架构，针对项目情况进行游戏架构梳理与分析;
2.负责游戏服务器架构设计、模块规划、技术文档的编写;
3.负责组织服务端程序成员实现游戏所要求的框架功能，确保服务端的稳定及可扩展性;
4.负责游戏后台服务器系统和后台服务器管理⼯具的设计和开发;
5.负责服务器性能优化。
任职要求:
1.计算机等相关专业，五年以上游戏后端相关⼯作经验;
2.熟练使⽤MySQL、Mongodb数据库和Redis性能优化和集群架构;
3.熟悉多人在线游戏开发经验，有大规模分布式项⽬，高性能大并发项目经验;
4.具备云部署维护经验;
5.具备解决高并发高流量的各种突发问题",王女士,人力专员,刚刚活跃,https://www.zhipin.com/job_detail/073de1a308fe563e0ndz3dm7GVJZ.html,通过,通过,
Golang后端开发实习生,智序互联网信息服务,200-300元/天,杭州,拱墅区,拱宸桥,杭州拱墅区博地·符星创新中心2幢1404室,5天/周 3个月,本科,,年终奖、五险一金、节日福利、团建聚餐、加班补助、零食下午茶、绩效奖金、带薪年假、员工旅游、高温补贴、交通补助,"【岗位职责】
1、协助完成Golang后端业务模块开发，参与代码编写、自测与优化，保障代码规范与服务稳定；
2、参与全栈项目辅助开发，配合团队完成基于 Golang、Node.js、NestJS/TypeScript 等技术栈的功能实现与联调；
3、协助完成大数据相关场景下的数据处理、脚本开发与简单性能优化，提升数据流转效率；
4、配合团队完成接口联调、文档整理，遵循后端开发规范，协助完善项⽬基础技术⽂档。

【任职要求】
1、27届本科/硕⼠应届毕业生，一周到岗5天，实习三个⽉以上，了解golang基础语法、有相关练手项目优先；
2、了解基础数据结构与算法，具备良好的编程习惯与代码质量意识，能快速上手业务开发；
3、了解 Golang 常用框架（如 go-gin、go-zero 等）或 Node.js/NestJS 技术栈，有实际使用经验者优先；
4、熟悉 MySQL、Redis 等常用数据库与中间件的基本使用，了解 Docker 基本操作更佳；
5、学习主动性强，沟通配合度高，做事细心负责，能保证稳定实习时长，服从团队工作安排。",黄女士,人事行政,刚刚活跃,https://www.zhipin.com/job_detail/9f2924eacdd388fc0nd709m9GVpT.html,通过,通过,
资深全栈开发（远程全职）,矩阵魔方,16-23K,杭州,余杭区,仓前,杭州余杭区西溪八方城5幢3层,3-5年,本科,TypeScript、Java、全栈侧重后端、JavaScript、Node.js、计算机相关专业、React、英语读写能力良好、全栈项目经验,五险一金、绩效奖金、远程工作、带薪年假、员工旅游、节日福利,"【岗位职责】
1.负责公司核心AI产品的后端系统设计、开发与迭代。
包括但不限于: 基于Next.js + Supabase + Node.js  技术栈，独立设计、开发与迭代用户仪表板、订阅支付系统、管理后台及宿主机运维系统等。
2.能熟练使⽤ AI 编程⼯具（Claude Code / Cursor / Copilot 等），独⽴完成从需求分析到代码交付的全流程，显著提升开发效率。
3.前后端协作功能
提供稳定、高效、安全的API服务，完成端到端的体验;能够和前端及客户端完成沟通联调，包括但不限于app客户端，后台系统等;能够主导测试用例，覆盖范围⼴且详尽。推动需求，排期以及交付节奏。
4.业务建模和沟通能力
能够把较为复杂的业务逻辑转化为结构化、高性能易维护的技术架构，并且能综合考虑高并发，安全性揀来相关因素。

【任职要求】
1.本科及以上学历，计算机，软件工程，数据开发数学等相关专业，3年以上后端开发经验;
2.精通至少一种主流后端语言(如Java/Python/Go/Node.js)，熟悉常用框架(Spring Boot，Next等);
3.熟悉关系型数据库(MySQL/PostgreSQL)设计与分库分表设计，了解分布式数据库的一致性与解决方案;
4. 熟练使用Docker进行应用容器化，能够编写高效的Dockerfile，使用Docker Compose进行多容器应用的编排和管理，了解Docker网络和存储的配置，确保应用在不同环境中的一致性和可移植性。
5.熟悉至少一种国内主流的云服务(阿里云，腾讯云，火山引擎)或海外(AWS,Google Cloud,Azure)等云服务 或独立服务器相关运维;
6.理解Restful API设计规范，具有良好的接口抽象能力;
7.注重代码质量和工程规范，具备良好的技术文档习惯以及代码注释;
8.具备较强的业务理解能力，能够把复杂流程简用简单的技术架构表述出来，化为清晰的技术模型;
9.责任心强，具有良好的沟通能力和跨团队协作意识;能独当一面的完成后端工作，自主意识强。

【加分项】
1.有上架app经验尤其是海外App Store(iOS AppStore和Google Play Store)经验，了解海外(以美国为主)的上架代码规范及用户隐私等。有出海合规和隐私(如iOS隐私、日志合规、数据合规)意识与经验;
2.有一定的英文基础，能看懂国外网站以及技术文档。",靳珍,HRBP,刚刚活跃,https://www.zhipin.com/job_detail/18d45217db3383190nd50t6_GVZU.html,通过,通过,
AI Agent 全栈工程师（偏后端）（远程）,润物科技,20-30K,杭州,拱墅区,湖墅南路,杭州拱墅区杭州大厦.,1-3年,本科,,五险一金、年终奖、带薪年假、团建聚餐,"岗位介绍:
1.基于现有产品设计并开发可长期演进的AI Agent系统，而非一次性Demo
2.负责Agent的整体架构设计，包括任务拆解、状态管理、工具调⽤与稳定性兜底
3.结合GPT/Gemini等⼤模型，优化Agent的决策、推理与交互效果
4.以全栈⽅式推动Agent在产品中的落地:后端(Python)+前端(React)
5.持续识别系统架构瓶颈，并推动架构迭代与优化

任职要求
1.本科及以上学历,2年以上开发经验,有复杂系统经验
2.有真实Agent系统开发经验,熟悉ReAct/AutoGPT等Agent工作流
3.精通Python，熟悉Web服务、异步任务、数据库等
4.熟悉React+TypeScript,可独立完成前后端闭环
5.具备架构思考能⼒，能做技术选型并为长期维护负责

加分项
多Agent协作经验
指令微调/强化学习/DeepResearchAgent实践
AI产品或工作流平台经验",夏女士,招聘专员,刚刚活跃,https://www.zhipin.com/job_detail/3e7f82777b49a4aa0nZy2N60ElNY.html,通过,通过,
golang开发,浙江雀星汇品牌管理,15-20K,杭州,萧山区,钱江世纪城,杭州萧山区宝盛世纪中心1号楼22楼雀星汇,3-5年,本科,Golang、Golang服务端开发经验,全勤奖、年终奖、五险一金,"岗位职责
１、核心业务开发：基于 Go 语言负责公司线产品线下无人⾃助棋牌相关的电商体系（如商品上架 / 下单 / 核销、⽆⼈棋牌室预订结算、会员商城等）和支付体系（支付通道对接、订单对账、退款处理、资⾦清结算等）的核心模块设计与开发；
２、技术架构优化：参与电商 & 支付系统的架构设计、性能优化和技术攻关，保障高并发场景下（如棋牌高峰期预订、支付峰值）系统的稳定性、安全性和可扩展性；
３、支付合规与风控：对接微信 / 支付宝 / 银联等主流支付渠道，完善支付流程中的风控策略，确保支付环节符合监管要求，防范资金风险；
４、接口与集成：设计并维护电商、支付相关的内部 / 外部接口，与第三方服务商（如支付机构、对账平台、供应链系统）完成系统集成；
５、、问题排查与迭代：负责线上系统问题的快速定位、排查和修复，跟进业务需求迭代，持续优化用户支付体验和电商交易流程；
６、技术文档编写：撰写清晰、规范的技术设计文档、接口文档和运维文档，配合测试、运维团队完成系统测试和上线。
任职要求
１、学历与经验：本科及以上学历，计算机相关专业，3 年及以上 Go 语言实际开发经验，有电商 / 支付核心模块开发经验优先；
２、技术基础：精通 Go 语言核心特性（协程、通道、内存管理等），熟练使用 Go 生态常用框架（如 Gin、Beego、Echo 等）和工具（如 Gorm、Viper 等）；
３、核心能力：熟悉微服务架构设计，具备分布式系统、高并发、高可用系统的开发和优化经验；
４、支付相关：了解主流支付通道（微信支付 / 支付宝 / 银联）对接流程，５、熟悉支付对账、清结算、退款等核心逻辑，有支付风控经验者优先；
６、数据存储：熟练使用 MySQL、Redis 等数据库，具备数据库索引优化、缓存设计、分库分表等实践经验；
７、工程规范：具备良好的编码规范和版本控制习惯（Git），熟悉 CI/CD 流程，了解容器化（Docker）、K8s 优先。
加分项：
１、有棋牌、本地生活、无人自助设备相关业务开发经验者优先；
２、熟悉电商交易流程（订单系统、库存系统、结算系统），有会员体系、优惠券、营销活动开发经验者优先；
３、具备支付合规、资金安全相关项目经验者优先；
４、有独立负责过电商 / 支付核心模块从 0 到 1 落地经验者优先。",曾先生,招聘专员,刚刚活跃,https://www.zhipin.com/job_detail/71d72d3b7fcf87ba0nZ93tu6GFFX.html,通过,通过,
golang后端,某大型证券公司,30-60K·15薪,杭州,,,杭州滨江区云狐科技园1,5-10年,本科,,,"岗位职责：
1. 围绕高安全、高稳定目标，优化系统架构与核心开发，解决复杂业务技术难题
2. 攻克⾼并发、海量数据等技术挑战，保障业务稳定运⾏
3. 带领后端团队参与产品迭代开发，负责技术⽅案设计和核心功能开发
4. 线上技术问题排查，解决线上各种疑难问题。岗位要求：
5. 全日制本科及以上学历，同时精通Go和PHP语⾔，8年以上开发经验，2年以上管理经验
6. 熟练掌握 MySQL、Redis 等数据存储与优化，精通分布式存储与缓存设计
7. 熟悉 Kubernetes、微服务，具备高并发分布式系统开发经验
8. 有分布式系统设计和开发经验者优先，有高并发、海量用户经验者优先
9. 有C端高并发、高可用项目经验，有游戏开发经验更佳
10. 具备强烈的责任心、工作踏实认真，有良好的团队精神",聂先生,人才经纪人,刚刚活跃,https://www.zhipin.com/job_detail/34910f555a14b16b0nd80924FlBW.html,通过,通过,
后端Golang工程师,瑞络路寻,18-22K,杭州,,,杭州滨江区万福中心A座1096,1-3年,本科,Golang、Java、GPT/clouded、AI、Golang服务端开发经验、计算机相关专业、Python,年终奖、团建聚餐、带薪年假、工龄奖、五险一金、绩效奖金、节日福利、员工旅游、有无线网、股票期权、生日福利,"职责描述：
1.SaaS 服务系统架构与开发
2.AI大模型接口调用与服务封装
3.流式语音识别数据接入与处理
4.客户端数据存储与同步设计
5.数据存储与分析能⼒建设
任职要求：
1、精通 Go/JAVA/Python 等后端语⾔；
2、能够独⽴设计开发方案；
3、熟悉流式通信协议:WebSocket、Server-Sent Events、qRPC；
4、熟练掌握 MongoDB/PostgreSQL/Redis等数据库设计与优化；
5、有本地-云端双向数据同步架构经验；
6、熟悉 AI 模型的调用机制；
7、熟悉⼤文件/多段数据上传合并、断点续传状态标记等处理方式；
8、有熟悉 Git、CI/CD 流程，能够独立部署上线服务；
加分项
●有自建大模型推理服务部署、微调、优化经验；
●有直播类产品后端开发经验，或客户端数据采集经验；
●对客户端架构(Electron)有一定理解",张女士,人事主管,刚刚活跃,https://www.zhipin.com/job_detail/52b286b7fef1702a0nd809W-E1VY.html,通过,通过,
