序号,公司,岗位,城市,薪资,岗位真实性,简历匹配度,简历通过率,现金流价值,长期路线价值,投递建议,风险标签,证据,简历关键词建议,job_url
1,LBank,可观测技术专家,全球远程,未明确,82,72,45,45,70,低优先级投,年限要求过高,",具备分布式系统基础，熟练使用 Go/Java/Python 之一，有二次开发或插件开发能力,有大规模平台运维、调优及复杂问题排查能力，有 AI 监控实战经验者优先 请自行确认岗位真实性、薪资和中国候选人接受度",突出华为：Linux 后端、高可用、自愈系统、日志排查、CI/CD、线上问题定位；突出创业 CTO/GitHub：Python、FastAPI、API 服务、AI workflow、数据处理、系统架构,https://remotejobscn.com/jobs/a7858af6-993f-4dac-b3cd-d4786f8a20f8
2,LBank,基础架构专家/架构师,全球远程,未明确,82,62,38,36,70,低优先级投,,，涵盖消息中间件、存储中间件、应用中间件的选型、高可用设计、性能优化与统一规范落地。 2：搭建全链路服务治理体系，包括流量网关、服务网关、消息推送网关、注册中心、配置中心及熔断、限流等韧性架构建设。 3：主导基础架构规划与演进，,突出华为：Linux 后端、高可用、自愈系统、日志排查、CI/CD、线上问题定位；突出创业 CTO/GitHub：Python、FastAPI、API 服务、AI workflow、数据处理、系统架构,https://remotejobscn.com/jobs/592618dc-ba71-4e06-a351-89ba040b3efe
3,LBank,资深质效平台开发工程师,全球远程,未明确,82,90,78,76,88,强烈优先投,年限要求过高、值得投递、强烈推荐、可作为现金流岗位、可作为跳板岗位,部质效相关全栈开发，涵盖工程效率平台（应用管理、CI/CD服务发布、变更管控、审批中心、成本管理）、交付质量平台（质量保障、混沌工程、压测、质量门禁）。 2:开发维护企业平台（OA、用户中心、权限中心）及稳定性平台（应急响应、告,突出华为：Linux 后端、高可用、自愈系统、日志排查、CI/CD、线上问题定位；突出创业 CTO/GitHub：Python、FastAPI、API 服务、AI workflow、数据处理、系统架构,https://remotejobscn.com/jobs/13bedc1f-5b99-486f-bc12-9d0e9ec977e7
4,Crypto 交易所,用户增长实习生,全球远程,1000 USDT,72,30,32,38,32,不建议投,不建议投递,"3，对区块链行业有一定了解,具备良好的信息检索、数据分析与逻辑思维能力,中英文阅读能力强，能独立阅读英文资料,有财经、金融、计算机等背景优先，有 web3 行业实习经验优先 请自行确认岗位真实性、薪资和中国候选人接受度",突出 Foxconn/创业：日志分析、数据清洗、SQL、报表/看板、异常分析,https://remotejobscn.com/jobs/3b1912a3-f008-4f98-8ca8-3834223ec7c9
5,Eleduck Hiring,Python开发工程师(agent),全球远程,按项目功能报价或固定按月支付,72,92,82,82,86,强烈优先投,JD 过于空泛、值得投递、强烈推荐、可作为现金流岗位、可作为跳板岗位,岗位名称：Python开发工程师(agent) 工作地点：远程 岗位职责：负责公司AI电商agent平台后端开发、API接口设计、系统架构优化及功能迭代，配合团队完成产品需求落地 招聘人数：,突出创业 CTO/GitHub：Python、FastAPI、API 服务、AI workflow、数据处理、系统架构,https://remotejobscn.com/jobs/99523ff2-2d05-4668-a04d-92a4ec44b10d
6,Deepcoin,数据分析师,全球远程,$3000 - $6000 / month,52,68,62,68,64,可以投,疑似招聘中介、值得投递,",针对用户运营、活动效果、转化留存等场景开展专项数据分析并提出优化建议,对接运营团队支撑业务策略制定，跟踪数据效果并迭代优化,协助完善数据采集、埋点流程，保障数据准确性 统招本科以上,有传统互联网大厂工作经验,有相关运营数据分析",突出 Foxconn/创业：日志分析、数据清洗、SQL、报表/看板、异常分析,https://remotejobscn.com/jobs/0aaf63a6-191f-4bd7-bbb8-7f58bf61cd28
7,Y Strategy,Web3 KOL 投放运营,全球远程,$1500 - $2900 / month,52,0,28,23,0,不建议投,疑似招聘中介、技术栈不匹配、不建议投递,"、对接沟通、审核内容、把控交付与复盘 1 年以上市场、KOL 或社群运营经验，有快速学习能力,中英文双语工作能力，英文书面沟通,有 Owner 意识，能独立推进事情,具备写作能力，可使用 AI 工具提升效率,沟通能力强，情绪稳定",突出创业 CTO/GitHub：Python、FastAPI、API 服务、AI workflow、数据处理、系统架构,https://remotejobscn.com/jobs/1cff4d08-a3c2-434c-9f6b-467cfe84651b
8,Exo Tech,Rust Engineer (Solana),全球远程,USD 100000-200000 / year,92,34,24,30,58,不建议投,不建议投递,引 Solana 数据的经验。 拥有 Rust API 开发经验。 TypeScript 经验是加分项。 了解密码学和网络安全最佳实践。 AI 工具经验是加分项。 具备强大的解决问题和分析能力。 具备优秀的沟通能力。 请自行确认,突出创业 CTO/GitHub：Python、FastAPI、API 服务、AI workflow、数据处理、系统架构,https://remotejobscn.com/jobs/b1fcedf4-7d42-4d71-b09d-3fb9873eea43
9,XXKK Derivatives,SEO 专员,全球远程,$2000 - $4500 / month,72,17,43,28,5,低优先级投,疑似招聘中介、技术栈不匹配,"reaming Frog 等 SEO 工具,具备数据分析能力，能够从数据中发现问题并提出解决方案,英语读写能力良好，能够阅读英文技术文档,有加密货币、DeFi、NFT、Web3 行业经验优先,有成功提升加密货币/金融类网站排名的",突出 Foxconn/创业：日志分析、数据清洗、SQL、报表/看板、异常分析,https://remotejobscn.com/jobs/5716e853-0245-40ec-a7b6-5b025864840b
10,AstroX,# 招聘 AstroX #CEX 简介： https://www.astroxpro.com/ AstroX 是一家由用户视角出发、强调结构创新与差异化的加密货币交易平台，当前处于冷启动阶段,全球远程,$3000 - $6500 / month,52,35,25,30,55,不建议投,疑似招聘中介、JD 过于空泛、年限要求过高、不建议投递,$3000 - $6500 / month 🌱 岗位职责… 5年开发/安全审计经验，至少1年Web3专注经验；精通Solidity审计；熟悉Web3攻击手法；有CEX/DEX/DeFi经验者优先。 请自行确认岗位真实性、薪资和中,不建议为该岗位大改简历；若投递只保留远程协作、英语、基础数据处理,https://remotejobscn.com/jobs/375c6f43-6be4-477e-a426-a16e85dbfe89
11,rrex,风控后端/风控运营/资深风控策略分析/HRBP/去中心化钱包运营/钱包产品/合约现货交易员,全球远程,3KU-7KU,54,46,42,45,45,低优先级投,JD 过于空泛、年限要求过高,R 薪酬说明：薪水 3KU-7KU 联系… 具体岗位职责需咨询 HR，涵盖风控后端、风控运营、策略分析、HRBP、去中心化钱包运营、产品及合约现货交易方向。 全职，远程，时区偏好 GMT+8 优先。 请自行确认岗位真实性、薪资和,不建议为该岗位大改简历；若投递只保留远程协作、英语、基础数据处理,https://remotejobscn.com/jobs/ca2b92c6-ddcb-400c-bed6-2b4b6851eec1
12,Bossjob,Bossjob Web3 精选：顶级 Offer 放送 | 5月11日 ———— 市场负责人 6000u-10000u base迪拜 资深增长运营 年57-120w rmb 远程 理 财运营 600,全球远程,未明确,35,20,15,20,20,删除,疑似招聘中介、JD 过于空泛、技术栈不匹配、年限要求过高、不建议投递,fer 放送 | 📅 5月11日 ———— 💎 市场负责人 💸 6000u-10000u 🌍 base迪拜 🚀 资深增长运营 💸 年57-120w rmb 🌍 远程 ⚡️ 理 财运营 💸 6000-10000U 🌍 海外远程 ✨,不建议为该岗位大改简历；若投递只保留远程协作、英语、基础数据处理,https://remotejobscn.com/jobs/3302f860-58d3-43a4-928f-378c4f57a52c
